entidad_norm,id_entidad_pt,entidad_pt,regimen,periodo_pt,n_personas_pt,ingreso_mediana_pt,ingreso_p25_pt,ingreso_p75_pt,masa_mensual_pt,n_convocatorias_cas,salario_oferta_mediana_cas,gap_oferta_vs_ejecutado,fuente_pt_url
CENTRO DE GESTION TRIBUTARIA (CGT),14300,CENTRO DE GESTIÓN TRIBUTARIA (CGT),CAS,2026-05,37,1564.19,1389.19,1864.19,65226.37,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14300&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES - AYACUCHO (DRTCA),13611,Direccion Regional de Transportes y Comunicaciones - Ayacucho (DRTCA),CAS,2025-11,38,1561.1,1529.85,2006.75,64656.28,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13611&in_anno_consulta=2025&ch_mes_consulta=11&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
SERVICIO DE ADMINISTRACION TRIBUTARIA DE HUANCAYO (SATH),13805,Servicio de Administración Tributaria de Huancayo (SATH),CAS,2026-04,37,1789.19,1389.19,1889.19,64513.57,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13805&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
UNIVERSIDAD NACIONAL SUPERIOR DE FOLKLORE JOSE MARIA ARGUEDAS (ENSFJMA),18712,Universidad Nacional Superior de Folklore José María Arguedas (ENSFJMA),CAS,2026-04,33,1864.19,1564.19,2064.19,63924.24,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18712&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
MUNICIPALIDAD DISTRITAL DE COLAN (MUNICOLAN),11587,Municipalidad Distrital de Colan (Municolan),CAS,2026-03,15,4000.0,4000.0,4500.0,63400.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11587&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
DIRECCION REGIONAL DE YAKU TARPUY PARA LA LUCHA CONTRA LA POBREZA (DRYTPLCLP),103012,DIRECCION REGIONAL DE YAKU TARPUY PARA LA LUCHA CONTRA LA POBREZA (DRYTPLCLP),CAS,2026-05,18,3264.19,2503.29,3664.19,63062.42,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=103012&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
GERENCIA SUB REGIONAL DE TAYACAJA (GSRT),18805,GERENCIA SUB REGIONAL DE TAYACAJA (GSRT),CAS,2026-03,22,2014.19,1564.19,3164.19,61586.18,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18805&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE UCHUMAYO (MDU),10501,Municipalidad Distrital de Uchumayo (MDU),CAS,2025-09,19,3650.0,2350.0,3850.0,61070.95,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10501&in_anno_consulta=2025&ch_mes_consulta=09&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE SABANDIA (MDS),10494,Municipalidad Distrital de Sabandia (MDS),CAS,2026-04,28,1882.1,1800.0,2100.0,60099.33,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10494&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
UNIDAD EJECUTORA 314 UGEL CHURCAMPA (UGEL CHURCAMPA),15353,UNIDAD EJECUTORA 314 UGEL CHURCAMPA (UGEL CHURCAMPA),CAS,2025-11,22,2119.54,1664.19,3064.19,58517.86,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=15353&in_anno_consulta=2025&ch_mes_consulta=11&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
