id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
5022,Oficina Nacional de Procesos Electorales (ONPE),Organismo constitucional,CAS,226,4743,3799.52,6364.19,11114,1095621
10063,Municipalidad Distrital de La Victoria - Lima (MLV),Municipalidad,CAS,224,2214,2014.19,5464.19,14000,950969
10242,Corte Superior de Justicia de Ucayali (D.J. UCAYALI),Justicia/Fiscalía,CAS,223,2561,1647.55,3022.21,7105,559832
13660,INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS (IREN NORTE),Salud,CAS,223,2064,1993.47,3164.19,9264,689734
18847,DIRECCION DE SALUD APURIMAC II (DISA APURIMAC II),Salud,CAS,222,3064,2164.19,3264.19,8364,649725
10598,Municipalidad Provincial de Cañete (MPC),Municipalidad,CAS,221,2264,1964.19,2664.19,7464,579638
18849,UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES (UE002SST),Organismo público,CAS,220,2614,2614.19,3514.19,14364,770990
180,Gobierno Regional del Callao (GR-Callao),Gobierno Regional,CAS,219,6964,5414.19,8911.33,14364,1677355
13718,Hospital Nacional Docente Madre Niño San Bartolomé (HONADOMANI SB),Salud,CAS,219,3364,2264.19,7640.62,14964,987204
72968,UNIDAD EJECUTORA RED DE SALUD CAJABAMBA (UE RED DE SALUD CAJA),Salud,CAS,219,3264,2164.19,3264.19,8364,688505
10212,Corte Superior de Justicia de Huánuco (CSJH),Justicia/Fiscalía,CAS,219,2864,1664.19,3336.19,6586,594838
13773,UNIDAD DE GESTIÓN EDUCATIVA LOCAL Nº 03 (UGEL Nº 03),Educación,CAS,215,3864,2864.19,5364.19,10364,891301
11793,Comisión Nacional para el Desarrollo y Vida sin Drogas (DEVIDA),Organismo público,CAS,215,5364,4404.19,6419.19,14399,1224378
18632,"HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (HOSPITAL ""JAMO"" II-2)",Salud,CAS,213,2164,2014.19,3264.19,12864,683464
13965,Hospital de Emergencias José Casimiro Ulloa (HEJCU),Salud,CAS,209,3245,2154.19,7420.86,19000,907380
26886,Unidad Ejecutora N° 405 Red de Salud Huamalies (REDHUAMALIES),Salud,CAS,207,2164,2164.19,3264.19,8364,582355
11859,Municipalidad Provincial de Arequipa (MPA),Municipalidad,CAS,207,1764,1664.19,2364.19,7200,531778
11144,Municipalidad Provincial del Santa (MPS - CHIMBOTE),Municipalidad,CAS,205,1500,1150.0,4014.19,6364,486214
13815,Fuero Militar Policial (Ex - Consejo Supremo de Justicia Militar) (FMP),Justicia/Fiscalía,CAS,202,2864,2264.19,4864.19,8157,712839
10434,Universidad Nacional de Educación Enrique Guzmán y Valle (UNE),Universidad,CAS,200,2364,1864.19,4600.0,18250,654298
13106,Programa de Empleo Temporal Llamkasun Perú (Llamkasun Perú),Organismo público,CAS,199,5100,2864.19,5864.19,13300,1008550
185,Biblioteca Nacional del Perú (BNP),Organismo público,CAS,197,5302,3964.29,8364.19,15600,1215520
13495,DIRECCION REGIONAL DE SALUD ANCASH (DIRESA ANCASH),Salud,CAS,197,3720,2594.05,4411.45,13673,810887
10213,Corte Superior de Justicia de Huaura (D.J. HUAURA),Justicia/Fiscalía,CAS,193,2936,1964.19,3336.19,8164,553808
10205,Corte Superior de Justicia de Cajamarca (D.J. CAJAMARCA),Justicia/Fiscalía,CAS,193,3225,2576.19,3336.19,7589,592363
10024,Organismo Supervisor de la Inversion en Infraestructura de Transporte de Uso Público (OSITRAN),Regulador/Superintendencia,CAS,191,10364,5864.19,12864.19,15600,1786883
10045,Universidad Nacional José Faustino Sánchez Carrión (UNJFSC),Universidad,CAS,191,1514,1389.19,1764.19,7364,325175
10946,Municipalidad Distrital de San Jeronimo - Cusco (MDSJ-CUSCO),Municipalidad,CAS,189,2613,2000.0,3300.0,6364,544423
980,Municipalidad Provincial de Huancavelica (MPH),Municipalidad,CAS,187,1764,1514.19,2264.19,5250,372803
11314,Municipalidad Distrital de La Esperanza (MDE),Municipalidad,CAS,184,1389,1389.19,1664.19,3100,301182
10947,Municipalidad Distrital de San Sebastián (MD - SSEBASTIAN),Municipalidad,CAS,183,3167,2200.0,3800.0,5850,592624
87981,HOSPITAL SANTA MARIA DE CUTERVO (HSMC),Salud,CAS,181,3136,2064.19,3864.19,9264,603299
10941,Municipalidad Distrital de La Punta (MDLP),Municipalidad,CAS,181,2300,1614.19,3800.0,7000,523415
13658,Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR),Regulador/Superintendencia,CAS,180,6864,4335.81,7407.19,14364,1160737
10449,Universidad Nacional del Altiplano (UNAP),Universidad,CAS,178,1789,1789.19,1864.19,25526,427478
14319,Fondo de Aseguramiento en Salud de la Policía Nacional del Perú (SALUDPOL),Salud,CAS,178,7364,5864.19,9364.19,15364,1352621
10135,Gobierno Regional de Ayacucho (GR-Ayacucho),Gobierno Regional,CAS,177,2468,1977.47,3477.41,10587,587051
12108,Municipalidad Provincial de Virú (MP-VIRÚ),Municipalidad,CAS,175,1864,1600.0,2064.19,5950,371859
10015,Instituto de Investigaciones de la Amazonía Peruana (IIAP),Organismo público,CAS,174,3864,1711.19,5614.19,11864,718569
14119,Universidad Nacional José María Arguedas (UNAJMA),Universidad,CAS,174,2064,1857.77,3387.77,7364,461160
14270,Universidad Nacional Toribio Rodriguez de Mendoza de Amazonas (UNTRM),Universidad,CAS,168,2050,1864.19,3250.0,10100,442762
14310,INSTITUTO NACIONAL DE CALIDAD (INACAL),Organismo público,CAS,166,6364,4864.19,9364.19,15600,1260675
1710,Municipalidad Provincial de Piura (MPPiura),Municipalidad,CAS,164,3501,2479.19,4983.45,9000,684783
10480,Municipalidad Distrital de Cayma (MDC),Municipalidad,CAS,163,2300,1900.0,2800.0,7500,421767
14263,RED DE SALUD DE DOS DE MAYO - UNIDAD EJECUTORA 406 (RSDM),Salud,CAS,161,2000,1800.0,2900.0,9000,389492
14273,Hospital de Apoyo II-1 Nuestra señora de las Mercedes de Paita (HLMP),Salud,CAS,161,2364,2014.19,4152.93,12364,566963
11868,Municipalidad Provincial de Huamanga (MP-HUAMANGA),Municipalidad,CAS,159,2300,1947.06,3064.19,6528,401541
10130,Gobierno Regional de Apurimac (GR-Apurimac),Gobierno Regional,CAS,157,3500,2800.0,4864.19,9364,596424
13648,DIRECCION REGIONAL DE SALUD HUANUCO (DIRESA - HUANUCO),Salud,CAS,156,2864,2164.19,3264.19,12364,494736
13314,Hospital de Emergencias Pediátricas (HEP),Salud,CAS,156,2364,2364.19,3464.19,15927,562761
12092,Municipalidad Provincial de Tarma (MPT),Municipalidad,CAS,156,1400,1350.0,1800.0,5000,270612
188,Instituto Geofísico del Perú (IGP),Organismo público,CAS,155,3864,2864.19,4914.19,15600,689062
13136,Universidad Nacional Amazonica de Madre de Dios (UNAMAD),Universidad,CAS,154,1745,1600.0,2044.69,9264,357478
183,Superintendencia Nacional de los Registros Públicos (SUNARP),Regulador/Superintendencia,CAS,153,6320,4532.68,7494.19,10579,944197
10157,GOBIERNO REGIONAL PASCO (GOREPA),Gobierno Regional,CAS,153,302,301.0,302.0,305,45896
10439,Universidad Nacional San Cristóbal de Huamanga (UNSCH),Universidad,CAS,150,2665,2300.0,3334.19,9022,452264
47949,RED DE SALUD AMBO (RSA),Salud,CAS,150,2164,2164.19,3264.19,8364,389565
14185,DIRECCION REGIONAL DE SALUD LIMA - PROVINCIA (DIRESA LIMA),Salud,CAS,149,2064,1850.86,3164.19,8264,422620
11887,Municipalidad Provincial de Hualgayoc (MPH-BCA),Municipalidad,CAS,149,2564,1900.0,4100.0,7500,441155
14243,"Sistema Nacional de Evaluación, Acreditación y Certificación de la Calidad Educativa (Sineace)",Educación,CAS,145,7364,6364.19,9364.19,15600,1166868
15357,UNIVERSIDAD NACIONAL DE CAÑETE (UNDC),Universidad,CAS,143,2364,1964.19,3964.19,15600,483730
134,Ministerio de Economía y Finanzas (MEF),Ministerio,FAG,141,13000,10000.0,15600.0,18200,1726180
18596,Municipalidad Distrital de Mi Perú (MDMP),Municipalidad,CAS,141,1664,1564.19,1864.19,9000,335535
102,Fondo Nacional de Desarrollo Pesquero (FONDEPES),Organismo público,CAS,139,6864,4100.0,10300.0,15600,1018363
10170,Gobierno Regional Tumbes (GR-Tumbes),Gobierno Regional,CAS,139,2464,1864.19,3164.19,5864,394372
14076,Unidad Ejecutora 005 Proyecto Especial Naylamp - Lambayeque (U.E. 005),Organismo público,CAS,139,1864,1464.19,2800.0,9864,339897
13258,Instituto Nacional de Ciencias Neurológicas (INCN),Organismo público,CAS,138,3027,2094.19,6982.92,15600,584817
15328,Oficina Regional Lima - INPE (INPE-ORL),Justicia/Fiscalía,CAS,137,3114,2686.06,4514.19,8014,486539
11279,Municipalidad Distrital de Pangoa (MDPangoa),Municipalidad,CAS,137,1864,1600.0,2164.19,5864,295477
14110,"Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (CENEPRED)",Organismo público,CAS,137,7364,6364.19,8364.19,13364,956381
14295,Municipalidad Distrital Veintiséis de Octubre (MDVO),Municipalidad,CAS,137,2464,2164.19,3860.19,9750,437269
14014,GOBIERNO REGIONAL DE LIMA METROPOLITANA (GRLM),Gobierno Regional,CAS,136,4064,2964.19,6750.0,10300,655850
11428,Municipalidad Provincial de Lambayeque (MPL),Municipalidad,CAS,135,1864,1614.19,2564.19,7100,352137
11793,Comisión Nacional para el Desarrollo y Vida sin Drogas (DEVIDA),Organismo público,Ley Servir,135,8277,5400.0,10725.0,30000,1104382
11779,Municipalidad Distrital de Yarinacocha (MDY),Municipalidad,CAS,135,1564,1389.19,6700.0,8700,399194
13217,AGROMERCADO (SSE),Organismo público,CAS,134,5329,2846.09,8364.19,15600,778080
16385,UNIVERSIDAD NACIONAL DE JULIACA (UNAJ),Universidad,CAS,133,2664,2364.19,3364.19,9164,389423
10409,Universidad Nacional de San Martí­n (UNSM),Universidad,CAS,133,1864,1664.19,2128.38,9500,319387
10641,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO - LIMA (MDSA),Municipalidad,CAS,133,1464,1300.0,1600.0,3700,204760
13090,Programa Subsectorial de Irrigaciones (PSI),Organismo público,CAS,133,6364,3864.19,10364.19,15364,995341
10437,Universidad Nacional del Centro del Perú (UNCP),Universidad,CAS,132,1964,1389.19,2364.19,12364,281186
11555,Municipalidad Distrital de Tambogrande (MD - TGRANDE),Municipalidad,CAS,132,2314,1664.19,3600.0,5000,357648
10167,Gobierno Regional de Tacna (G.R.TACNA),Gobierno Regional,CAS,131,3364,2864.19,4014.19,24808,576949
10403,Universidad Nacional Santiago Antúnez de Mayolo (UNASAM),Universidad,CAS,130,1289,1289.19,1289.19,6000,216913
10020,Proyecto Especial de Infraestructura de Transporte Descentralizado (Provias Descentraliz),Organismo público,CAS,128,9364,6364.19,10364.19,15600,1099315
11548,Municipalidad Distrital de Castilla (MDC),Municipalidad,CAS,128,3349,2100.0,5800.0,7800,475824
13970,Programa de Compensaciones para la Competitividad (AGROIDEAS),Organismo público,CAS,128,6364,4364.19,8364.19,15200,838186
10505,Municipalidad Distrital de Yura (MDY),Municipalidad,CAS,126,3058,2000.0,3652.5,4702,360791
14003,Dirección Regional de Salud Tacna (DIRESA Tacna),Salud,CAS,125,3264,2164.19,3400.0,12300,447836
14261,"Instituto Regional de Oftalmología ""Javier Servat Univaso"" (IRO-JSU)",Organismo público,CAS,125,2864,2064.19,4000.0,10564,451129
12667,Municipalidad Distrital Crnl. Gregorio Albarracín­ Lanchipa (MD-CGAL),Municipalidad,CAS,124,2214,1814.19,3164.19,17680,412977
10610,Municipalidad Distrital de San Antonio - Cañete (MDSA),Municipalidad,CAS,124,1595,1329.45,1929.49,4166,231277
11863,Municipalidad Provincial de Caylloma (MP-CAYLLOMA),Municipalidad,CAS,123,1800,1600.0,2300.0,4750,255550
13647,UNIDAD EJECUTORA 303 - EDUCACION ALTOPIURA (UE303),Organismo público,CAS,123,1614,1414.19,2450.0,5264,230273
13679,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA DE TRUJILLO (SATT),Organismo público,CAS,123,1600,1500.0,1864.19,2564,203318
95997,Organismo de Focalización e Información Social (OFIS),Organismo público,CAS,123,8000,7500.0,10000.0,15600,1070500
186,"Consejo Nacional de Ciencia, Tecnología e Innovación (CONCYTEC)",Organismo público,CAS,119,8364,5364.19,10364.19,15600,999721
10021,JUNTA NACIONAL DE JUSTICIA (JNJ),Justicia/Fiscalía,CAS,119,7864,4764.19,9364.19,15064,905234
10147,Gobierno Regional de Ica (GORE-ICA),Gobierno Regional,CAS,119,2164,1864.19,2864.19,8864,311039
18680,UNIDAD DE GESTIÓN EDUCATIVA LOCAL SAN MARTIN (UGELSM),Educación,CAS,118,2221,1864.19,3150.0,6122,305772
11816,GOBIERNO LOCAL DE LA PROVINCIA DE QUISPICANCHI (GLPQ/U),Organismo público,CAS,118,2500,2000.0,3500.0,6800,348709
13855,Organismo de Evaluación y Fiscalización Ambiental (OEFA),Justicia/Fiscalía,Ley Servir,117,9771,8982.44,12074.85,20893,1259832
10719,Municipalidad Distrital de San Juan Bautista (MDSJB-AYACUCHO),Municipalidad,CAS,117,2100,1900.0,3450.0,4400,295566
13625,Universidad Nacional Micaela Bastidas de Apurímac. (UNAMBA),Universidad,CAS,115,1764,1764.19,2550.0,8250,297132
11864,Municipalidad Distrital de Majes (MD-Majes),Municipalidad,CAS,115,2664,2064.19,3364.19,6100,335316
14253,UNIDAD EJECUTORA N° 302 LEONCIO PRADO (UGEL302-LEONCIO PRAD),Organismo público,CAS,114,1714,1261.82,2386.82,3864,213674
10073,Municipalidad Distrital de Punta Hermosa (MD-PUNTAHERMOSA),Municipalidad,CAS,113,1883,1752.6,3711.44,11442,360612
10617,Municipalidad Distrital de Aucallama (MD-AUCALLAMA),Municipalidad,CAS,111,1743,1275.88,1964.19,6200,234364
10487,Municipalidad Distrital de Miraflores - AREQUIPA (MDM),Municipalidad,CAS,111,1464,1389.19,2250.0,9623,232939
38934,Proyecto Especial Secretaría Técnica de Apoyo a la Comisión Ad Hoc creada por el D.S. Nº 006-2012-EF (SECRETARIA TECNICA-F),Organismo público,CAS,111,4364,2554.57,7354.47,15600,606824
10407,Universidad Nacional Jorge Basadre Grohmann (UNJBG),Universidad,CAS,110,1614,1500.85,1714.19,9250,223560
80,Superintendencia del Mercado de Valores (SMV),Regulador/Superintendencia,CAS,109,6064,4464.19,7664.19,12364,678594
10053,Municipalidad Distrital de Breña (MD-BREÑA),Municipalidad,CAS,109,2270,2118.67,5057.5,13000,458156
11280,Municipalidad Distrital de Rio Tambo (MDRT),Municipalidad,CAS,107,2800,2235.81,3500.0,5500,322788
13902,Hospital José Agurto Tello de Chosica (HJATCH),Salud,CAS,106,2639,1964.19,3164.19,11110,351992
11171,Municipalidad Provincial de Carhuaz (MPC),Municipalidad,CAS,106,1295,1289.19,1764.19,3700,175522
14051,Programa Nacional de Conservación de Bosques (PNCBMCC),Organismo público,CAS,106,5864,3364.19,7864.19,15600,673003
866,Municipalidad Provincial del Callao (MPCallao),Municipalidad,Altos Funcionarios,105,13000,10000.0,13000.0,15600,1307100
10110,Municipalidad Distrital de Santa Anita (MDSA),Municipalidad,CAS,104,1577,1356.64,6478.0,9830,323657
13687,Autoridad Nacional del Servicio Civil (SERVIR),Organismo público,CAS,104,6364,3364.19,7164.19,12364,558524
13853,Direccion Regional de Salud de Ica (DIRESA-ICA),Salud,CAS,102,3263,3137.62,3361.47,10864,376553
13168,Direccion Regional de Educación de Loreto (DREL),Educación,CAS,100,2602,2564.19,3515.0,5364,284920
10506,Municipalidad Distrital de José Luis Bustamante y Rivero (MD - JLBYR),Municipalidad,CAS,100,2250,1850.0,2864.19,6220,283163
18813,Universidad Nacional Ciro Alegria (UNCA),Universidad,CAS,99,3000,2500.0,4000.0,15600,397900
12797,Dirección Regional de Salud Huancavelica (DIRESA Huancavelica),Salud,CAS,99,2963,2163.59,3264.19,14364,312523
10493,Municipalidad Distrital de Sachaca (MDS),Municipalidad,CAS,99,1750,1564.19,2300.0,5750,214838
11823,Municipalidad Provincial de Utcubamba (MP-UTCUBAMBA),Municipalidad,CAS,98,1764,1564.19,2564.19,6800,225655
13166,Dirección Regional de Agricultura - Huánuco (DRA - Huánuco),Organismo público,CAS,98,2399,2064.19,3100.19,12100,264702
18708,UNIDAD DE GESTION EDUCATIVA LOCAL DE RIOJA (UGEL RIOJA),Educación,CAS,97,2628,2220.8,3864.19,5864,284142
14012,Dirección Regional de Educación Cajamarca (DRE - Cajamarca),Educación,CAS,96,3014,1764.19,3764.19,10264,283122
98,Centro de Formación en Turismo (CENFOTUR),Organismo público,CAS,95,5864,3710.43,7364.19,13364,566117
13126,Servicio de Administración Tributaria de Piura (SATP),Organismo público,CAS,94,1879,1680.0,2333.33,12000,200583
13045,Programa Nacional de Inversiones en Salud - PRONIS (PRONIS),Salud,CAS,93,9562,5312.11,10561.69,14562,735214
10484,Municipalidad Distrital Jacobo Hunter - Arequipa (MDJH),Municipalidad,CAS,91,1800,1672.19,2576.19,4000,193570
20858,Programa Nacional de entrega de la pensión no contributiva a la persona con discapacidad severa (CONTIGO),Organismo público,CAS,91,4864,3864.19,8830.33,14364,575331
16393,Instituto Nacional de Investigación en Glaciares y Ecosistemas de Montaña (INAIGEM),Organismo público,CAS,90,6364,4364.19,7364.19,14364,618015
11912,Municipalidad Provincial de Acobamba (MP-ACOBAMBA),Municipalidad,CAS,89,1200,1050.0,1700.0,3000,128330
16370,FONDO INTANGIBLE SOLIDARIO DE SALUD (FISSAL),Salud,CAS,87,6864,5364.19,7864.19,12364,562950
13982,Municipalidad Distrital de Islay (MDI),Municipalidad,CAS,86,1650,1500.0,2300.0,5300,175328
14272,Agencia de Compras de las Fuerzas Armadas (ACFFAA),Organismo público,CAS,86,5864,4664.19,7364.19,12448,536055
14042,HOSPITAL HERMILIO VALDIZAN (HHV),Salud,CAS,83,2890,2164.19,3364.19,14364,294208
14218,Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa (UNISCJSA),Universidad,CAS,82,3788,2828.39,4946.08,15600,344957
103013,Unidad de Gestion Educativa Local Padre Abad (UGELPA),Educación,CAS,82,1814,1414.19,2764.19,4764,175926
10503,Municipalidad Distrital de Yanahuara (MD-YANAHUARA),Municipalidad,CAS,82,1960,1664.19,2464.19,4967,198010
10479,Municipalidad Distrital de Alto Selva Alegre (MDASA),Municipalidad,CAS,81,1700,1400.0,2100.0,4264,161785
85,Comisión Nacional de Investigación y Desarrollo Aeroespacial (CONIDA),Organismo público,CAS,80,5364,3364.19,6864.19,11364,420721
10113,Municipalidad Distrital de Santa María del Mar (MDSMM),Municipalidad,CAS,79,1714,1650.0,3650.0,10000,240616
10031,Despacho Presidencial (DP),Organismo público,CAS,79,4864,3364.19,6864.19,10864,411617
10087,Municipalidad Distrital de San Luis - LIMA (MDSL),Municipalidad,CAS,78,2714,2164.19,8600.0,12100,356338
10489,Municipalidad Distrital de Paucarpata (MDP-PAUCARPATA),Municipalidad,CAS,78,1814,1750.0,2864.19,5950,192341
13804,Instituto Nacional de Oftalmología (INO),Organismo público,CAS,78,3582,2153.67,5815.32,15600,377896
10043,Academia de la Magistratura (AMAG),Justicia/Fiscalía,CAS,76,4557,3164.19,5364.19,6364,326326
10151,Gobierno Regional de Lambayeque (GR-Lambayeque),Gobierno Regional,CAS,76,1814,1664.19,3164.19,4864,174986
13103,Centro Nacional de Planeamiento Estratégico (CEPLAN),Organismo público,CAS,76,7864,6364.19,8364.19,11864,565630
13281,GERENCIA REGIONAL DE EDUCACIÓN MOQUEGUA (GREM),Organismo público,CAS,76,4000,3600.0,5000.0,6000,312000
181,Archivo General de la Nación (AGN),Organismo público,CAS,75,4364,3364.19,8364.19,15964,455297
11574,Municipalidad Provincial de Morropón Chulucanas (MP-MORROPONCH),Municipalidad,CAS,75,2800,1564.19,5000.0,7000,255443
13099,Centro Vacacional Huampani (CVH),Organismo público,CAS,75,1594,1389.19,5364.19,12364,247845
13353,Programa Nacional de Desarrollo Tecnológico e Innovación (PROINNOVATE),Organismo público,CAS,75,8364,7364.19,10854.19,12864,654452
10004,Agencia Peruana de Cooperación Internacional (APCI),Organismo público,CAS,74,6364,4364.19,8364.19,14364,478738
18686,Universidad Nacional de Música (UNM),Universidad,CAS,74,3764,3764.19,6264.19,15600,383933
11796,Gobierno Regional de Amazonas (GR-Amazonas),Gobierno Regional,CAS,74,2504,1457.69,10364.19,13364,405227
11126,Agencia de Promoción de la Inversión Privada (PROINVERSION),Organismo público,CAS,74,10364,5864.19,12364.19,15600,713924
11866,Municipalidad Provincial de Islay (MPI),Municipalidad,CAS,74,1859,1400.0,2464.19,7753,170727
10161,Gobierno Regional de Piura (GR-Piura),Gobierno Regional,CAS,73,8250,2364.19,8983.33,12364,495725
10024,Organismo Supervisor de la Inversion en Infraestructura de Transporte de Uso Público (OSITRAN),Regulador/Superintendencia,Ley Servir,72,11956,9948.06,12641.64,28000,826965
114025,AUTORIDAD NACIONAL DE CONTROL DEL PODER JUDICIAL (ANC-PJ),Justicia/Fiscalía,CAS,72,3336,2484.19,4039.19,8164,250980
12230,Municipalidad Provincial de Padre Abad (MPPA-A),Municipalidad,CAS,71,4164,2864.19,6364.19,7364,310357
10074,Municipalidad Distrital de Punta Negra (MDPN),Municipalidad,CAS,71,1850,1664.19,4000.0,9278,233361
17416,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA (UNAAT),Universidad,CAS,70,3457,2323.8,4684.82,15600,273150
10057,MUNICIPALIDAD DISTRITAL DE CIENEGUILLA (MDC),Municipalidad,CAS,70,1494,1494.19,7000.0,13000,251864
12822,Gerencia Regional de Transportes y Comunicaciones de La Libertad (GRTCLL),Organismo público,CAS,70,2364,2164.19,3300.0,5600,181639
10077,Municipalidad Distrital de San Bartolo (MDSanBartolo),Municipalidad,CAS,68,1564,1500.0,2150.0,7500,187843
12116,Municipalidad Provincial de Barranca (MPB),Municipalidad,CAS,68,4364,1880.69,4364.19,6364,240316
13840,Direccion Regional de Educación del Callao (DREC),Educación,CAS,67,2864,2364.19,4164.19,13364,226408
18848,Unidad de Gestion Educativa Local Huancavelica (UGELHVCA),Educación,CAS,67,2133,1514.19,2964.19,6079,156335
11467,Municipalidad Distrital de Inambari (MDI),Municipalidad,CAS,67,2550,2150.0,3750.0,6250,201899
18666,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA (UNIQ),Universidad,CAS,66,3000,2300.0,4500.0,15500,248250
10376,Municipalidad Distrital de Morales (MDMorales),Municipalidad,CAS,65,1764,1464.0,2650.0,4200,140712
16368,Direccion Regional de Agricultura Cusco (DRAC),Organismo público,CAS,65,2264,1964.19,3264.19,8264,178174
16376,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA (UNAH),Universidad,CAS,64,2957,2164.19,3864.19,15600,245246
13702,Hospital Nacional Víctor Larco Herrera (HVLH),Salud,CAS,64,2164,1964.19,3849.61,12364,231507
18675,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO (UNAT),Universidad,CAS,63,3064,2564.19,3564.19,15773,249740
13767,DIRECCIÓN REGIONAL DE EDUCACIÓN CUSCO (DREC),Educación,CAS,63,3364,2564.19,3864.19,6550,206058
11476,"Ministerio de Vivienda, Construcción y Saneamiento (VIVIENDA)",Ministerio,Altos Funcionarios,63,15600,15600.0,20266.07,30000,1115775
12188,Municipalidad Provincial de Melgar (MPM-A),Municipalidad,CAS,61,2500,1900.0,3000.0,8700,160500
16,Congreso de la República (Congreso),Organismo constitucional,CAS,60,3964,3964.19,5941.19,18108,318818
13677,DIRECCIÓN REGIONAL DE EDUCACIÓN DE SAN MARTÍN (DRESM),Educación,CAS,60,3007,1514.19,3864.19,6778,182059
11024,Municipalidad Distrital de Pichari (MDPichari),Municipalidad,CAS,60,12,12.0,12.0,12,720
11868,Municipalidad Provincial de Huamanga (MP-HUAMANGA),Municipalidad,Altos Funcionarios,60,6164,2340.0,6164.19,7364,287463
14254,UNIVERSIDAD NACIONAL DE FRONTERA (UNF),Universidad,CAS,59,2794,2794.19,5564.19,15900,251527
10359,Municipalidad Distrital de Nueva Cajamarca (MDNC),Municipalidad,CAS,59,1914,1850.19,2614.19,13897,162343
11845,Municipalidad Provincial de Pomabamba (MPP),Municipalidad,CAS,59,1918,1506.71,2653.5,4666,129636
94998,Organismo de Estudios y Diseño de Proyectos de Inversión (OEDI),Organismo público,CAS,59,10100,8100.0,13364.19,15600,601797
12175,Municipalidad Provincial de Paita (MP-PAITA),Municipalidad,CAS,58,4360,2464.19,4360.0,5955,227398
13414,Dirección General de Electrificación Rural (DGER),Organismo público,CAS,57,7364,5364.19,7364.19,15600,380314
11154,Municipalidad Distrital de Nuevo Chimbote (MD - NVOCHIMBOTE),Municipalidad,CAS,56,5000,3500.0,5000.0,6000,254250
24,Tribunal Constitucional (TC),Justicia/Fiscalía,CAS,55,4864,3364.19,6500.0,9364,283437
10,Organismo Especializado para las Contrataciones Públicas Eficientes (OECE),Organismo público,Ley Servir,55,8287,3158.21,12632.86,20786,471667
10811,Municipalidad Distrital de Encañada (MDLE),Municipalidad,CAS,55,2750,2114.19,3550.0,7200,168220
10277,Municipalidad Distrital de Independencia - Huaraz (MDI),Municipalidad,CAS,55,3364,2864.19,6364.19,7364,238400
14192,Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud (CENARES),Salud,CAS,54,8000,3000.0,10000.0,15600,390000
10131,Gobierno Regional de Arequipa (GRA),Gobierno Regional,CAS,54,2932,1864.19,7864.19,15204,282630
14258,PROGRAMA NACIONAL DE INVESTIGACIÓN CIENTÍFICA Y ESTUDIOS AVANZADOS (PROCIENCIA),Organismo público,CAS,54,8364,6364.19,10364.19,15600,453056
86,Instituto Geográfico Nacional (IGN),Organismo público,CAS,53,3416,2664.19,3642.0,6364,177769
1605,Municipalidad Provincial de Maynas (MPM),Municipalidad,CAS,53,3764,1564.19,5000.0,9500,207760
11327,Municipalidad Distrital de Santiago de Cao (MDSC),Municipalidad,CAS,53,1664,1451.11,3000.0,4500,115292
12100,Municipalidad Provincial de Julcan (MP-JULCAN),Municipalidad,CAS,53,2564,2276.6,3764.19,5500,154691
14044,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES HUANUCO (GR-HUANUCO/DRTC),Organismo público,CAS,52,1538,1524.51,1641.23,1930,83059
95,Instituto Peruano de Energía Nuclear (IPEN),Organismo público,CAS,51,3564,2164.19,6364.19,10595,216343
13729,UNIDAD DE GESTION EDUCATIVA LOCAL Nº 10 HUARAL (UGEL Nº 10 HUARAL),Educación,CAS,51,2000,1464.19,2764.19,52406,201396
12054,Municipalidad Distrital de Chaglla (MD-Chaglla),Municipalidad,CAS,51,2000,1600.0,2600.0,5150,110760
12149,Municipalidad Distrital de Simón Bolivar (MDSB),Municipalidad,CAS,51,1600,1200.0,1600.0,2541,77399
10025,Instituto Nacional de Salud Mental-Honorio Delgado-Hideyo Noguchi (INSM),Salud,CAS,50,2761,2164.19,3746.27,14964,182345
13854,Direccion Regional de Educacion de Ucayali (DRE-UCAYALI),Educación,CAS,50,1894,1764.19,3064.19,12300,127119
12173,Municipalidad Provincial de Huancabamba (MP-HUANCABAMBA),Municipalidad,CAS,50,3000,1800.0,4364.19,7150,161593
12216,Municipalidad Provincial de Mariscal Cáceres (MPMC-JUANJUI),Municipalidad,CAS,50,2464,1864.19,5364.19,7300,157845
11044,Municipalidad Distrital de Ccatcca (MDCC),Municipalidad,CAS,49,3000,2600.0,5500.0,6500,184700
