id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
10062,Municipalidad Distrital de la Molina (Munimolina),Municipalidad,CAS,923,1900,1750.0,2364.19,15600,2544468
10065,Municipalidad Distrital de Lurigancho-Chosica (MDLCH),Municipalidad,CAS,915,1600,1500.0,1900.0,5683,1578670
134,Ministerio de Economía y Finanzas (MEF),Ministerio,Ley Servir,911,12275,10205.21,13325.21,30000,11196869
18774,DIRECCIÓN DE REDES INTEGRADAS DE SALUD LIMA ESTE (DIRIS LE),Salud,CAS,887,5564,3254.53,11411.05,24204,6348685
10072,Municipalidad Distrital de Puente Piedra (MDPP),Municipalidad,CAS,887,2900,1550.0,3000.0,11700,2279231
11476,"Ministerio de Vivienda, Construcción y Saneamiento (VIVIENDA)",Ministerio,CAS,883,7864,4964.19,9864.19,14364,6522617
78975,RED DE SALUD HUANUCO (RSHCO),Salud,CAS,868,2564,2351.43,3464.19,12564,2633126
13357,Hospital Nacional Arzobispo Loayza (HNAL),Salud,CAS,865,3246,2164.19,4228.47,14964,3403791
14145,Ministerio de Desarrollo e Inclusión Social (MIDIS),Ministerio,CAS,832,3964,1489.19,8464.19,15600,4120922
139,Ministerio de la Producción (PRODUCE),Ministerio,CAS,810,6364,4864.19,8364.19,16120,5740723
4,Instituto Nacional de Estadística e Informática (INEI),Organismo público,CAS,796,2264,2064.19,3264.19,12339,2323747
13693,HOSPITAL NACIONAL HIPOLITO UNANUE (HNHU),Salud,CAS,795,2164,2164.19,3264.19,14164,2683280
14183,Programa Nacional de Asistencia Solidaria Pensión 65 (PENSION 65),Organismo público,CAS,780,2864,2364.19,3864.19,20800,2792418
141,Ministerio de Trabajo y Promoción del Empleo (MTPE),Ministerio,CAS,778,4802,3364.19,7424.19,17680,4532464
19,La Contraloría General de la República (CGR),Organismo constitucional,CAS,775,6864,5164.19,7949.19,12949,5163965
18827,UNIDAD DE GESTION EDUCATIVA LOCAL DE AMBO (UGELAMBO),Educación,CAS,775,4201,3740.7,5267.6,12168,3626581
10208,Corte Superior de Justicia de Lima Norte (CSJLN),Justicia/Fiscalía,CAS,772,4783,4186.19,5314.19,10089,3624068
10009,Organismo de Formalización de la Propiedad Informal (COFOPRI),Organismo público,CAS,768,3364,2664.19,4364.19,11364,2930028
18798,Corte Superior de Justicia de Lima Este (CSJLE),Justicia/Fiscalía,CAS,766,3336,2736.19,4086.19,13727,2568985
18595,Corte Superior de Justicia de Lima (CSJ Lima),Justicia/Fiscalía,CAS,762,2314,1664.19,2936.19,11364,2020411
13855,Organismo de Evaluación y Fiscalización Ambiental (OEFA),Justicia/Fiscalía,CAS,751,7864,4364.19,10364.19,15600,5595199
14191,DIRECCION REGIONAL DE SALUD - SAN MARTIN (DIRES),Salud,CAS,729,2784,2164.19,3864.19,10364,2397021
136,Ministerio de Desarrollo Agrario y Riego (MIDAGRI),Ministerio,CAS,710,7283,4298.08,8753.11,16898,4974811
10006,Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (Indecopi),Regulador/Superintendencia,CAS,710,3864,2864.19,5864.19,13864,3296350
18733,HOSPITAL GENERAL DE JAEN (HGJ),Salud,CAS,709,3061,2540.24,4676.19,9264,2711407
13797,HOSPITAL REGIONAL HERMILIO VALDIZAN MEDRANO - HUÁNUCO (HRHVM-HCO),Salud,CAS,682,3125,2064.19,5094.19,9264,2594131
8,Superintendencia Nacional de Servicios de Saneamiento (SUNASS),Regulador/Superintendencia,CAS,681,7364,4864.19,9364.19,15600,4887133
5,Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN),Regulador/Superintendencia,CAS,677,7564,6364.19,11364.19,15600,5572055
12761,Hospital Huacho y Red de Salud Huaura Oyón (HHRSHO),Salud,CAS,676,3109,2153.83,3264.19,8364,2069243
13920,Dirección Regional de Salud de Cajamarca (DIRESA CAJAMARCA),Salud,CAS,668,2949,2164.19,3264.19,11364,2033095
13649,Consejo Nacional para la Integración de la Persona con Discapacidad (CONADIS),Organismo público,CAS,659,2364,2064.19,3364.19,15600,2201437
144,Ministerio de Transportes y Comunicaciones (MTC),Ministerio,CAS,657,5750,3364.19,8864.19,15876,4209472
10202,Corte Superior de Arequipa (CSJAR),Justicia/Fiscalía,CAS,655,3336,2314.19,4214.19,8364,2142486
13628,Hospital Nacional Dos de Mayo (HNDM),Salud,CAS,650,3155,2164.19,5357.82,20274,2533867
140,Ministerio de Relaciones Exteriores (RREE),Ministerio,CAS,645,3864,3364.19,6364.19,15600,3318595
10152,Gobierno Regional de Loreto (GOREL),Gobierno Regional,CAS,638,2064,1564.19,3750.0,9102,1769086
10010,Instituto Nacional de Radio y Televisión del Perú (IRTP),Organismo público,CAS,629,2864,2089.19,3564.19,14253,2074462
13004,Seguro Integral de Salud (SIS),Salud,CAS,628,5474,3389.19,7314.19,18305,3617028
13912,Servicio Nacional de Áreas Naturales Protegidas por el Estado (SERNANP),Organismo público,CAS,626,5364,3564.19,7290.55,15600,3510486
132,Ministerio del Interior (MININTER),Ministerio,CAS,618,6746,4364.19,9479.21,18720,4669181
14282,Servicio Nacional Forestal y de Fauna Silvestre (SERFOR),Organismo público,CAS,608,6362,4318.72,8964.19,15364,4002873
10038,Instituto Peruano del Deporte (IPD),Organismo público,CAS,607,1604,1389.19,4298.72,15364,2006513
10048,Universidad Nacional de Ingeniería (UNI),Universidad,CAS,601,3114,2814.19,3914.19,13864,2199320
10149,Gobierno Regional de La Libertad (GRLL),Gobierno Regional,CAS,598,3100,2299.67,5100.0,15700,2317667
2,Intendencia Nacional de Bomberos del Perú (INBP),Organismo público,CAS,596,2264,1964.19,3364.19,15600,1989370
10036,Municipalidad Distrital de Lince (MDL),Municipalidad,CAS,596,1964,1700.0,2364.19,11700,1512013
